epoch,accuracy,loss,val_accuracy,val_loss
1,0.958733320236206,0.13529986143112183,0.9840999841690063,0.04806412383913994
2,0.9885666370391846,0.03692678362131119,0.986299991607666,0.038515038788318634
3,0.9931833148002625,0.023359064012765884,0.989799976348877,0.03217285871505737
4,0.9951000213623047,0.01595892943441868,0.9894999861717224,0.03266817331314087
5,0.9963333606719971,0.012018940411508083,0.9926999807357788,0.02836797572672367
6,0.9965333342552185,0.01049746386706829,0.9905999898910522,0.03246882185339928
7,0.9976500272750854,0.008009500801563263,0.9914000034332275,0.02786151133477688
8,0.9972666501998901,0.007970905862748623,0.9905999898910522,0.03499210625886917
9,0.9972333312034607,0.008231937885284424,0.9914000034332275,0.0352398157119751
10,0.9979166388511658,0.006186762358993292,0.9926999807357788,0.030747924000024796
11,0.9976999759674072,0.006197034846991301,0.9907000064849854,0.04210716113448143
12,0.99795001745224,0.006660332903265953,0.9922999739646912,0.03226373717188835
13,0.9983333349227905,0.005014198832213879,0.991599977016449,0.03912438452243805
14,0.9986333250999451,0.004503979813307524,0.9926000237464905,0.02891615219414234
15,0.9989666938781738,0.002997236791998148,0.9930999875068665,0.03161027655005455
16,0.9987333416938782,0.003938248846679926,0.991599977016449,0.03544814512133598
17,0.9990166425704956,0.0034696029033511877,0.993399977684021,0.03376132249832153
18,0.9989666938781738,0.002995128743350506,0.9934999942779541,0.03810664266347885
19,0.9987000226974487,0.00432405062019825,0.9919000267982483,0.03612348809838295
20,0.9988333582878113,0.0035627002362161875,0.9919000267982483,0.03567533567547798
21,0.9993666410446167,0.0021933221723884344,0.9911999702453613,0.040873318910598755
22,0.9990833401679993,0.0035610974300652742,0.993399977684021,0.03372468426823616
23,0.9993666410446167,0.0024962492752820253,0.9922000169754028,0.03280147537589073
24,0.9990500211715698,0.003014639485627413,0.9922999739646912,0.035402391105890274
25,0.9991000294685364,0.0031859250739216805,0.9919999837875366,0.035110823810100555
